,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Class
38,41.0,227.0,1316989.0,1317154.0,12212.0,617.0,372.0,1398637.0,27.0,141.0,1402.0,0.0,1.0,40.0,0.0585,0.6021,0.8871,0.1327,0.3015,0.4435,0.0,4.0868,2.2695,2.2175,-0.1129,-0.1052,1.0,0
39,754.0,772.0,739337.0,739349.0,90.0,28.0,20.0,9057.0,91.0,111.0,1353.0,1.0,0.0,50.0,0.8588,0.5833,0.6667,0.0133,0.6429,0.6,0.0,1.9542,1.2553,1.0792,-0.3333,-0.2138,0.3601,1
40,980.0,1010.0,33416.0,33425.0,130.0,33.0,36.0,25944.0,192.0,212.0,1353.0,0.0,1.0,100.0,0.507,0.5185,0.3,0.0222,0.9091,0.25,0.0,2.1139,1.4771,0.9542,-0.7,0.5591,0.4465,1
41,50.0,71.0,143784.0,143858.0,578.0,73.0,90.0,67901.0,100.0,132.0,1353.0,0.0,1.0,120.0,0.0739,0.6281,0.2838,0.0155,0.2877,0.8222,1.0,2.7619,1.3222,1.8692,0.7162,-0.0822,0.9998,1
42,0.0,13.0,438867.0,438919.0,260.0,23.0,56.0,27344.0,46.0,127.0,1353.0,0.0,1.0,70.0,0.0,0.6154,0.25,0.0096,0.5652,0.9286,1.0,2.415,1.1139,1.716,0.75,-0.1784,0.9236,1
43,837.0,868.0,753061.0,753089.0,212.0,56.0,37.0,27232.0,119.0,142.0,1364.0,0.0,1.0,50.0,0.7273,0.7558,0.9032,0.0227,0.5536,0.7568,0.0,2.3263,1.4914,1.4472,-0.0968,0.0035,0.9775,1
44,804.0,817.0,151240.0,151265.0,133.0,32.0,25.0,16759.0,114.0,134.0,1372.0,0.0,1.0,40.0,0.809,0.5908,0.52,0.0095,0.4063,1.0,1.0,2.1239,1.1139,1.3979,0.48,-0.0156,0.5378,1
45,0.0,4.0,224005.0,224035.0,83.0,18.0,31.0,7446.0,71.0,108.0,1360.0,1.0,0.0,70.0,0.0,0.3083,0.1333,0.0029,0.2222,0.9677,1.0,1.9191,0.6021,1.4771,0.8667,-0.2991,0.2288,1
46,39.0,212.0,2070134.0,2070204.0,6399.0,287.0,132.0,666455.0,41.0,126.0,1356.0,0.0,1.0,40.0,0.0575,0.4716,0.4046,0.1276,0.6028,0.5303,0.0,3.8061,2.238,1.8451,-0.5954,-0.1863,1.0,0
47,37.0,261.0,652969.0,653195.0,18517.0,1021.0,696.0,2230510.0,25.0,150.0,1398.0,0.0,1.0,40.0,0.0529,0.6342,0.9912,0.1602,0.2194,0.3247,1.0,4.2676,2.3503,2.3541,0.0088,-0.0589,1.0,0
48,1705.0,1713.0,389963.0,389978.0,102.0,9.0,15.0,8359.0,70.0,95.0,1715.0,0.0,1.0,50.0,0.0023,0.15,0.5333,0.0047,0.8889,1.0,1.0,2.0086,0.9031,1.1761,0.4667,-0.3598,0.2288,1
49,798.0,825.0,1519629.0,1519634.0,65.0,28.0,8.0,8344.0,118.0,143.0,1648.0,1.0,0.0,69.0,0.9685,0.5185,0.1852,0.0164,0.9643,0.625,0.0,1.8129,1.4314,0.699,-0.8148,0.0029,0.2469,1
50,41.0,214.0,2896951.0,2897015.0,6509.0,274.0,139.0,682403.0,41.0,126.0,1358.0,0.0,1.0,40.0,0.0604,0.4121,0.3699,0.1274,0.6314,0.4604,0.0,3.8135,2.238,1.8062,-0.6301,-0.1809,1.0,0
51,317.0,322.0,166852.0,166856.0,15.0,5.0,4.0,1826.0,110.0,135.0,1694.0,1.0,0.0,143.0,0.3743,0.25,0.8,0.003,1.0,1.0,0.0,1.1761,0.699,0.6021,-0.2,-0.049,0.1322,1
52,243.0,254.0,205684.0,205730.0,305.0,37.0,46.0,14320.0,7.0,86.0,1692.0,0.0,1.0,300.0,0.2872,0.3972,0.2391,0.0065,0.2973,1.0,1.0,2.4843,1.0414,1.6628,0.7609,-0.6332,0.7955,1
53,41.0,217.0,1040020.0,1040199.0,15050.0,867.0,541.0,1751637.0,21.0,141.0,1400.0,0.0,1.0,40.0,0.0586,0.5223,0.9832,0.1257,0.203,0.3309,1.0,4.1775,2.2455,2.2529,0.0168,-0.0907,1.0,0
54,1536.0,1561.0,48398.0,48463.0,479.0,61.0,67.0,43294.0,82.0,102.0,1692.0,0.0,1.0,300.0,0.1549,0.7052,0.3846,0.0148,0.4098,0.9701,1.0,2.6803,1.3979,1.8129,0.6154,-0.2939,0.9998,1
55,39.0,209.0,1434944.0,1435012.0,6676.0,240.0,128.0,688430.0,37.0,125.0,1356.0,0.0,1.0,40.0,0.0575,0.4225,0.4,0.1254,0.7083,0.5313,0.0,3.8245,2.2304,1.8325,-0.6,-0.1944,1.0,0
56,144.0,152.0,127892.0,127903.0,68.0,10.0,11.0,8586.0,101.0,142.0,1618.0,1.0,0.0,70.0,0.178,0.2273,0.7273,0.0049,0.8,1.0,1.0,1.8325,0.9031,1.0414,0.2727,-0.0136,0.1934,1
57,1212.0,1220.0,198764.0,198776.0,74.0,12.0,12.0,13025.0,163.0,188.0,1387.0,0.0,1.0,40.0,0.2408,0.2292,0.6667,0.0058,0.6667,1.0,1.0,1.8692,0.9031,1.0792,0.3333,0.3751,0.2018,0
58,48.0,116.0,548048.0,548050.0,131.0,68.0,3.0,16504.0,54.0,190.0,1227.0,0.0,1.0,40.0,0.0782,0.0368,0.0294,0.0554,1.0,0.6667,0.0,2.1173,1.8325,0.301,-0.9706,-0.0157,0.2482,1
59,43.0,211.0,2300789.0,2300856.0,6279.0,306.0,149.0,648910.0,36.0,126.0,1358.0,0.0,1.0,40.0,0.0633,0.4422,0.3988,0.1237,0.549,0.4497,0.0,3.7979,2.2253,1.8261,-0.6012,-0.1926,1.0,0
60,1368.0,1378.0,929571.0,929600.0,205.0,14.0,34.0,21556.0,92.0,119.0,1387.0,0.0,1.0,40.0,0.013,0.2931,0.3448,0.0072,0.7143,0.8529,1.0,2.3117,1.0,1.4624,0.6552,-0.1785,0.4796,1
61,408.0,415.0,195003.0,195029.0,111.0,14.0,27.0,16728.0,144.0,158.0,1353.0,0.0,1.0,100.0,0.6031,0.3901,0.2692,0.0052,0.5,0.963,1.0,2.0453,0.8451,1.415,0.7308,0.1774,0.3097,1
62,979.0,989.0,891060.0,891079.0,107.0,18.0,19.0,12543.0,110.0,132.0,1372.0,0.0,1.0,40.0,0.5583,0.4368,0.5263,0.0073,0.5556,1.0,1.0,2.0294,1.0,1.2787,0.4737,-0.0842,0.3212,1
63,39.0,218.0,1750768.0,1750835.0,6543.0,279.0,160.0,679238.0,39.0,125.0,1358.0,0.0,1.0,40.0,0.0574,0.4544,0.3743,0.1318,0.6416,0.4187,0.0,3.8158,2.2529,1.8261,-0.6257,-0.189,1.0,0
64,1566.0,1577.0,2613123.0,2613138.0,106.0,19.0,15.0,8602.0,63.0,95.0,1654.0,1.0,0.0,100.0,0.0931,0.3576,0.7333,0.0066,0.5789,1.0,1.0,2.0253,1.0414,1.1761,0.2667,-0.366,0.286,1
65,1167.0,1192.0,294065.0,294091.0,451.0,33.0,27.0,42862.0,25.0,132.0,1354.0,0.0,1.0,40.0,0.2393,0.3061,0.9615,0.0185,0.7576,0.963,1.0,2.6542,1.3979,1.415,0.0385,-0.2575,0.9104,1
66,13.0,871.0,139939.0,140094.0,15208.0,861.0,501.0,1741571.0,22.0,143.0,1378.0,0.0,1.0,40.0,0.0189,0.8856,0.1806,0.6226,0.9965,0.3094,0.0,4.1821,2.9335,2.1903,-0.8194,-0.1053,1.0,0
67,256.0,280.0,225183.0,225253.0,833.0,91.0,80.0,86329.0,85.0,117.0,1692.0,0.0,1.0,300.0,0.3026,0.5042,0.3429,0.0142,0.2637,0.875,1.0,2.9207,1.3802,1.8451,0.6571,-0.1903,0.9999,1
68,41.0,216.0,1647865.0,1647927.0,6501.0,257.0,115.0,672664.0,43.0,125.0,1356.0,0.0,1.0,40.0,0.0605,0.4008,0.3543,0.1291,0.6809,0.5391,0.0,3.813,2.243,1.7924,-0.6457,-0.1916,1.0,0
69,1326.0,1333.0,1581921.0,1581956.0,139.0,27.0,35.0,16441.0,110.0,132.0,1354.0,0.0,1.0,40.0,0.031,0.4326,0.2,0.0052,0.2593,1.0,1.0,2.143,0.8451,1.5441,0.8,-0.0759,0.4057,1
70,46.0,178.0,104115.0,104164.0,4115.0,179.0,108.0,427024.0,48.0,127.0,1360.0,0.0,1.0,40.0,0.0676,0.3638,0.3712,0.0971,0.7374,0.4537,0.0,3.6144,2.1206,1.6902,-0.6288,-0.1893,1.0,0
71,1080.0,1088.0,2136974.0,2136983.0,48.0,8.0,9.0,5418.0,98.0,132.0,1687.0,1.0,0.0,70.0,0.7101,0.3333,0.8889,0.0047,1.0,1.0,1.0,1.6812,0.9031,0.9542,0.1111,-0.1182,0.1773,1
72,41.0,216.0,1615921.0,1615991.0,6276.0,279.0,154.0,647595.0,43.0,119.0,1356.0,0.0,1.0,40.0,0.0605,0.4877,0.4,0.1291,0.6272,0.4545,0.0,3.7977,2.243,1.8451,-0.6,-0.1939,1.0,0
73,0.0,14.0,1041924.0,1042036.0,862.0,37.0,113.0,69375.0,63.0,101.0,1687.0,1.0,0.0,80.0,0.0,0.4503,0.125,0.0083,0.3784,0.9912,1.0,2.9355,1.1461,2.0492,0.875,-0.3712,0.9998,1
74,14.0,24.0,149048.0,149070.0,150.0,12.0,22.0,17566.0,99.0,140.0,1687.0,0.0,1.0,200.0,0.0166,0.3182,0.4545,0.0059,0.8333,1.0,1.0,2.1761,1.0,1.3424,0.5454,-0.0851,0.3663,1
75,1495.0,1560.0,123779.0,123815.0,1002.0,97.0,64.0,99456.0,87.0,116.0,1633.0,0.0,1.0,300.0,0.0894,0.5718,0.5538,0.0398,0.6701,0.5625,0.0,3.0009,1.8129,1.5563,-0.4462,-0.2245,1.0,1
76,41.0,214.0,1576890.0,1576955.0,6353.0,260.0,120.0,657020.0,37.0,125.0,1358.0,0.0,1.0,40.0,0.0604,0.435,0.3757,0.1274,0.6654,0.5417,0.0,3.803,2.238,1.8129,-0.6243,-0.192,1.0,0
77,550.0,558.0,2426501.0,2426519.0,109.0,15.0,18.0,12587.0,103.0,135.0,1708.0,1.0,0.0,100.0,0.644,0.2431,0.4444,0.0047,0.5333,1.0,1.0,2.0374,0.9031,1.2553,0.5556,-0.0978,0.2583,1
78,43.0,193.0,2368032.0,2368203.0,9892.0,682.0,424.0,1130960.0,42.0,140.0,1402.0,0.0,1.0,40.0,0.0613,0.6144,0.8772,0.107,0.2199,0.4033,1.0,3.9953,2.1761,2.233,0.1228,-0.1068,1.0,0
79,216.0,228.0,2150440.0,2150452.0,106.0,12.0,13.0,12235.0,107.0,124.0,1387.0,0.0,1.0,40.0,0.3115,0.2639,1.0,0.0087,1.0,0.9231,0.5,2.0253,1.0792,1.0792,0.0,-0.0983,0.2583,1
80,309.0,322.0,1314894.0,1314902.0,61.0,14.0,10.0,6886.0,102.0,123.0,1623.0,1.0,0.0,100.0,0.3808,0.4135,0.6154,0.008,0.9286,0.8,0.0,1.7853,1.1139,0.9031,-0.3846,-0.1181,0.2105,1
81,1136.0,1150.0,4082892.0,4082910.0,191.0,17.0,18.0,22601.0,101.0,135.0,1666.0,0.0,1.0,40.0,0.6194,0.2421,0.7778,0.0084,0.8235,1.0,1.0,2.281,1.1461,1.2553,0.2222,-0.0755,0.417,1
82,788.0,800.0,10409376.0,10409388.0,110.0,13.0,12.0,12304.0,100.0,124.0,1360.0,0.0,1.0,40.0,0.8235,0.2361,1.0,0.0088,0.9231,1.0,0.5,2.0414,1.0792,1.0792,0.0,-0.1261,0.2583,1
83,754.0,770.0,1066700.0,1066722.0,212.0,20.0,22.0,21031.0,77.0,118.0,1362.0,1.0,0.0,70.0,0.8693,0.3977,0.7273,0.0117,0.8,1.0,1.0,2.3263,1.2041,1.3424,0.2727,-0.225,0.5822,1
84,41.0,210.0,1445593.0,1445656.0,6294.0,262.0,153.0,656298.0,45.0,125.0,1358.0,0.0,1.0,40.0,0.0604,0.4089,0.3728,0.1244,0.645,0.4118,0.0,3.7989,2.2279,1.7993,-0.6272,-0.1854,1.0,0
85,41.0,189.0,2215354.0,2215404.0,4881.0,239.0,110.0,513464.0,40.0,127.0,1404.0,0.0,1.0,40.0,0.0584,0.3404,0.3378,0.1054,0.6192,0.4545,0.0,3.6885,2.1703,1.699,-0.6622,-0.1781,1.0,0
86,781.0,801.0,1045940.0,1045960.0,178.0,60.0,39.0,22761.0,120.0,135.0,1353.0,0.0,1.0,70.0,0.816,0.555,1.0,0.0148,0.3333,0.5128,0.5,2.2504,1.301,1.301,0.0,-0.001,0.6574,1
87,39.0,194.0,498190.0,498252.0,5877.0,211.0,110.0,612067.0,47.0,126.0,1358.0,0.0,1.0,40.0,0.0574,0.3884,0.4,0.1141,0.7346,0.5636,0.0,3.7692,2.1903,1.7924,-0.6,-0.1864,1.0,0
88,1122.0,1133.0,828904.0,828914.0,68.0,14.0,10.0,6049.0,77.0,101.0,1360.0,1.0,0.0,300.0,0.3338,0.3818,0.9091,0.0081,0.7857,1.0,0.0,1.8325,1.0414,1.0,-0.0909,-0.305,0.2173,1
89,501.0,526.0,1986222.0,1986247.0,476.0,38.0,25.0,45968.0,40.0,141.0,1666.0,1.0,0.0,100.0,0.6014,0.2384,1.0,0.015,0.6579,1.0,0.5,2.6776,1.3979,1.3979,0.0,-0.2455,0.8958,1
90,41.0,218.0,2187237.0,2187305.0,6010.0,257.0,123.0,626586.0,39.0,126.0,1358.0,0.0,1.0,40.0,0.0604,0.5007,0.3842,0.1303,0.6887,0.5529,0.0,3.7789,2.248,1.8325,-0.6158,-0.1855,1.0,0
91,265.0,276.0,183293.0,183331.0,227.0,22.0,38.0,32920.0,135.0,158.0,1353.0,0.0,1.0,100.0,0.3917,0.4569,0.2895,0.0081,0.5,1.0,1.0,2.356,1.0414,1.5798,0.7105,0.133,0.6839,1
92,39.0,216.0,1903355.0,1903423.0,6878.0,247.0,128.0,709363.0,38.0,126.0,1358.0,0.0,1.0,40.0,0.0574,0.4286,0.3842,0.1303,0.7166,0.5313,0.0,3.8375,2.248,1.8325,-0.6158,-0.1943,1.0,0
93,39.0,196.0,931074.0,931135.0,5885.0,249.0,136.0,610139.0,40.0,127.0,1358.0,0.0,1.0,40.0,0.0574,0.3855,0.3885,0.1156,0.6305,0.4485,0.0,3.7698,2.1959,1.7853,-0.6115,-0.19,1.0,0
94,211.0,615.0,2277118.0,2277134.0,3256.0,417.0,106.0,345545.0,89.0,127.0,1356.0,0.0,1.0,40.0,0.3112,0.4963,0.0396,0.2979,0.9688,0.1509,0.0,3.5127,2.6064,1.2041,-0.9604,-0.1709,1.0,1
95,41.0,221.0,4358896.0,4358964.0,6294.0,289.0,160.0,661448.0,43.0,124.0,1358.0,0.0,1.0,40.0,0.0604,0.4858,0.3778,0.1326,0.6228,0.425,0.0,3.7989,2.2553,1.8325,-0.6222,-0.179,1.0,0
96,570.0,585.0,155584.0,155593.0,74.0,16.0,11.0,15069.0,196.0,210.0,1387.0,0.0,1.0,40.0,0.8219,0.4518,0.6,0.0108,0.9375,0.8182,0.0,1.8692,1.1761,0.9542,-0.4,0.5909,0.2469,0
97,232.0,241.0,1384749.0,1384772.0,139.0,19.0,23.0,15080.0,89.0,126.0,1696.0,0.0,1.0,60.0,0.2736,0.3285,0.3913,0.0053,0.4737,1.0,1.0,2.143,0.9542,1.3617,0.6087,-0.1524,0.3464,1
98,626.0,643.0,1969029.0,1969068.0,365.0,39.0,40.0,39229.0,91.0,126.0,1710.0,1.0,0.0,100.0,0.7322,0.4495,0.4359,0.0099,0.4359,0.975,1.0,2.5623,1.2305,1.5911,0.5641,-0.1603,0.9172,1
99,99.0,110.0,1552116.0,1552126.0,65.0,15.0,11.0,7193.0,102.0,124.0,1648.0,1.0,0.0,69.0,0.1201,0.4091,0.9091,0.0067,0.7333,0.9091,0.0,1.8129,1.0414,1.0,-0.0909,-0.1355,0.2173,1
100,732.0,793.0,78207.0,78276.0,2358.0,104.0,101.0,233778.0,49.0,124.0,1387.0,0.0,1.0,40.0,0.8565,0.4398,0.8841,0.044,0.5865,0.6832,1.0,3.3725,1.7853,1.8389,0.1159,-0.2254,1.0,0
101,243.0,370.0,3658370.0,3658511.0,7639.0,462.0,260.0,819375.0,40.0,135.0,1666.0,0.0,1.0,40.0,0.2917,0.5734,0.9007,0.0762,0.2749,0.5423,1.0,3.883,2.1038,2.1492,0.0993,-0.162,1.0,0
102,1324.0,1330.0,1543653.0,1543689.0,145.0,23.0,36.0,16920.0,108.0,127.0,1352.0,0.0,1.0,40.0,0.0325,0.3287,0.1667,0.0044,0.2609,1.0,1.0,2.1614,0.7782,1.5563,0.8333,-0.0884,0.3601,1
103,0.0,21.0,1399301.0,1399304.0,52.0,21.0,4.0,5644.0,56.0,151.0,1690.0,1.0,0.0,70.0,0.0,0.1746,0.1429,0.0124,1.0,0.75,0.0,1.716,1.3222,0.4771,-0.8571,-0.152,0.1687,1
